#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 01 05 23 50 283 16.6 20.7  1.64  5.56  4.36 285 1005.0  -8.9   2.2 999.0 99.0 99.00
2018 01 06 00 50 283 17.1 20.7  1.70  5.00  4.22 295 1005.9  -9.4   2.1 999.0 99.0 99.00
2018 01 06 01 50 283 16.1 20.9  1.74  4.76  4.11 293 1007.1 -10.1   1.2 999.0 99.0 99.00
2018 01 06 02 50 276 15.6 19.2  1.75  4.76  4.05 297 1007.9 -10.3   0.9 999.0 99.0 99.00
2018 01 06 03 50 272 16.2 19.6  1.66  4.55  3.98 294 1008.2 -10.7  -0.1 999.0 99.0 99.00
2018 01 06 04 50 272 16.3 20.2  1.82  4.76  4.02 280 1008.8 -10.5  -0.3 999.0 99.0 99.00
2018 01 06 05 50 273 16.8 19.7  1.65  5.00  4.08 275 1008.9 -10.6  -0.7 999.0 99.0 99.00
2018 01 06 06 50 273 15.9 19.9  1.67  5.00  4.27 284 1010.2 -10.6  -0.7 999.0 99.0 99.00
2018 01 06 07 50 273 15.6 21.6  1.74  5.56  4.62 271 1011.1 -10.5  -0.8 999.0 99.0 99.00
2018 01 06 08 50 271 16.3 20.3  1.81  5.26  4.87 266 1011.1 -10.5  -0.6 999.0 99.0 99.00
2018 01 06 09 50 278 15.9 20.1  1.79  5.26  4.77 266 1012.1 -10.8  -0.6 999.0 99.0 99.00
2018 01 06 10 50 271 14.9 17.7  1.58  5.26  4.62 276 1013.1 -10.8  -0.4 999.0 99.0 99.00
2018 01 06 11 50 270 14.0 17.6  1.58  5.00  4.43 283 1014.3 -11.0  -0.1 999.0 99.0 99.00
2018 01 06 12 50 266 13.0 15.6  1.42  4.76  4.08 261 1015.5 -11.1  -0.4 999.0 99.0 99.00
2018 01 06 13 50 261 13.7 17.1  1.39  4.35  3.90 101 1015.8 -10.8  -0.8 999.0 99.0 99.00
2018 01 06 14 50 266 14.0 17.8  1.47  4.35  3.81  93 1015.7 -10.4  -0.9 999.0 99.0 99.00
2018 01 06 15 50 277 14.2 18.5  1.45  4.55  3.82  49 1015.3 -10.6  -0.9 999.0 99.0 99.00
2018 01 06 16 50 280 14.1 17.5  1.44  4.76  3.88 255 1014.8 -10.8  -1.0 999.0 99.0 99.00
2018 01 06 17 50 279 13.7 16.7  1.40  4.35  3.84 274 1014.6  -9.8  -1.0 999.0 99.0 99.00
2018 01 06 18 50 281 13.1 15.9  1.52  4.76  4.09 255 1015.3  -9.3  -1.0 999.0 99.0 99.00
2018 01 06 19 50 999 99.0 99.0  1.40  4.55  4.08 248 1015.8  -7.9  -1.1 999.0 99.0 99.00
2018 01 06 20 50 296 12.1 14.8 99.00 99.00 99.00 999 1016.8  -9.6  -1.1 999.0 99.0 99.00
2018 01 06 21 50 287 12.5 15.4  1.26  5.00  4.37 283 1017.7  -9.5  -1.1 999.0 99.0 99.00
2018 01 06 22 50 298 12.8 15.2  1.41  5.26  4.47 278 1019.2 -10.0  -1.3 999.0 99.0 99.00
2018 01 06 23 50 299 13.1 15.9  1.27  5.00  4.26 291 1020.2 -10.5  -1.3 999.0 99.0 99.00
2018 01 07 00 50 294 12.6 15.6  1.33  4.76  4.09 277 1021.0 -10.6  -1.2 999.0 99.0 99.00
2018 01 07 01 50 296 12.6 15.6  1.08  3.85  3.66 299 1021.8 -11.2  -1.2 999.0 99.0 99.00
2018 01 07 02 50 299 13.2 16.3  1.05  4.76  3.57 283 1022.4 -11.8  -1.3 999.0 99.0 99.00
2018 01 07 03 50 303 12.1 15.1  1.04  3.85  3.45 291 1023.1 -12.2  -1.3 999.0 99.0 99.00
2018 01 07 04 50 307 12.0 14.6  0.94  4.00  3.37 287 1023.2 -12.9  -1.4 999.0 99.0 99.00
2018 01 07 05 50 314 11.9 15.1  0.97  4.17  3.43 285 1024.1 -13.4  -1.3 999.0 99.0 99.00
2018 01 07 06 50 312 12.4 14.8  0.85  4.00  3.51 292 1025.3 -14.0  -1.2 999.0 99.0 99.00
2018 01 07 07 50 315 11.0 13.9  0.95  4.00  3.72 296 1026.6 -14.9  -1.2 999.0 99.0 99.00
2018 01 07 08 50 319 11.9 14.7  0.91  4.55  4.00 285 1027.1 -15.8  -1.4 999.0 99.0 99.00
2018 01 07 09 50 322 10.8 13.2  0.74  4.76  4.14 280 1028.3 -16.4  -1.7 999.0 99.0 99.00
2018 01 07 10 50 320  9.4 12.1  0.32  5.00  4.93 270 1029.7 -16.7  -1.8 999.0 99.0 99.00
2018 01 07 11 50 316  9.3 11.1  0.13 99.00  5.03 999 1030.3 -16.3 999.0 999.0 99.0 99.00
2018 01 07 12 50 320  9.7 12.2  0.04 99.00  5.75 999 1031.5 -16.5 999.0 999.0 99.0 99.00
2018 01 07 13 50 322  8.1 10.1  0.06 99.00  6.07 999 1032.5 -16.0 999.0 999.0 99.0 99.00
2018 01 07 14 50 311  5.9  7.4  0.04 99.00  7.21 999 1033.3 -15.0 999.0 999.0 99.0 99.00
2018 01 07 15 50 322  3.9  5.7  0.05 99.00  7.14 999 1033.1 -13.6 999.0 999.0 99.0 99.00
2018 01 07 16 50 315  2.5  4.6  0.04 99.00  7.14 999 1032.1 -12.9 999.0 999.0 99.0 99.00
2018 01 07 17 50 257  2.4  3.9  0.02 99.00  7.14 999 1031.8 -12.4 999.0 999.0 99.0 99.00
2018 01 07 18 50 265  2.8  3.9  0.03 99.00  7.14 999 1031.5 -11.3 999.0 999.0 99.0 99.00
2018 01 07 19 50 254  4.0  5.8  0.08 99.00  6.24 999 1031.7 -10.1 999.0 999.0 99.0 99.00
2018 01 07 20 50 241  3.7  5.3  0.10 99.00  6.38 999 1031.7  -9.7  -1.8 999.0 99.0 99.00
2018 01 07 21 50 237  2.5  3.7  0.02 99.00  7.14 999 1031.3  -9.4 999.0 999.0 99.0 99.00
2018 01 07 22 50 251  4.6  5.9  0.02 99.00  7.14 999 1031.1  -8.8  -1.8 999.0 99.0 99.00
2018 01 07 23 50 232  3.8  5.7  0.02 99.00  7.14 999 1030.8  -7.2  -1.8 999.0 99.0 99.00
2018 01 08 00 50 239  6.9  8.8  0.03 99.00  7.14 999 1030.3  -5.5  -1.8 999.0 99.0 99.00
2018 01 08 01 50 235  8.9 11.7  0.02 99.00  7.14 999 1029.6  -4.8  -1.8 999.0 99.0 99.00
2018 01 08 02 50 235  5.7  8.2  0.15 99.00  3.83 999 1028.7  -3.5  -1.8 999.0 99.0 99.00
2018 01 08 03 50 224  7.4  9.0  0.77  3.57  3.14 257 1028.1  -2.3  -1.8 999.0 99.0 99.00
2018 01 08 04 50 222  7.3  8.9  0.73  3.45  3.04 268 1026.8  -1.4  -1.8 999.0 99.0 99.00
2018 01 08 05 50 227  6.5  9.1  0.86  3.33  3.02 262 1025.8  -1.1  -1.8 999.0 99.0 99.00
2018 01 08 06 50 228  7.8 11.0  0.93  3.33  3.24 258 1025.4  -0.6  -1.8 999.0 99.0 99.00
2018 01 08 07 50 236 10.1 13.0  0.94  4.00  3.35 263 1024.9  -0.3  -1.8 999.0 99.0 99.00
2018 01 08 08 50 242 11.5 14.8  1.10  4.35  3.69 230 1024.7  -0.7  -1.8 999.0 99.0 99.00
2018 01 08 09 50 251 11.6 14.4  1.30  4.35  4.14 248 1024.4  -0.8  -1.8 999.0 99.0 99.00
2018 01 08 10 50 249 11.2 13.4  1.00  4.76  3.90 241 1024.3  -0.9  -1.8 999.0 99.0 99.00
2018 01 08 11 50 237 12.0 15.5  1.00  4.55  3.91 268 1024.1  -0.3  -1.8 999.0 99.0 99.00
2018 01 08 12 50 247 11.8 13.8  0.93  4.76  3.88 271 1024.3  -0.3  -1.8 999.0 99.0 99.00
2018 01 08 13 50 246 10.7 12.8  0.98  4.35  3.82 257 1024.3  -0.1  -1.8 999.0 99.0 99.00
2018 01 08 14 50 240  8.6 10.1  0.87  4.35  3.59 256 1024.4   0.4  -1.8 999.0 99.0 99.00
2018 01 08 15 50 231  7.6  8.8  0.74  3.85  3.45 266 1023.1   0.4  -1.7 999.0 99.0 99.00
2018 01 08 16 50 220  7.8  9.3  0.56  3.70  3.08 266 1021.8   0.9  -1.6 999.0 99.0 99.00
2018 01 08 17 50 222  7.3  8.3  0.47  3.33  2.97 272 1021.0   1.6  -1.1 999.0 99.0 99.00
2018 01 08 18 50 228  6.3  7.3  0.52  3.33  3.02 251 1020.3   1.6  -1.1 999.0 99.0 99.00
2018 01 08 19 50 213  7.2  8.3  0.50  3.23  3.17 256 1019.2   2.0  -1.2 999.0 99.0 99.00
2018 01 08 20 50 203  7.6  9.0  0.60  3.33  3.21 266 1017.9   2.2  -1.0 999.0 99.0 99.00
2018 01 08 21 50 206  8.4  9.8  0.58  3.70  3.31 261 1016.8   2.7  -1.1 999.0 99.0 99.00
2018 01 08 22 50 225 10.5 11.9  0.61  3.45  3.41 219 1016.2   3.0  -1.5 999.0 99.0 99.00
2018 01 08 23 50 243  8.8 10.2  0.62  3.85  3.49 248 1016.6   2.7  -1.6 999.0 99.0 99.00
2018 01 09 00 50 253  9.2 10.7  0.68  4.17  3.58 275 1016.7   2.1  -1.6 999.0 99.0 99.00
2018 01 09 01 50 249  7.7 11.1  0.74  4.17  3.85 272 1016.5   1.5  -1.6 999.0 99.0 99.00
2018 01 09 02 50 257  8.0  9.5  0.67  4.35  3.57 272 1016.6   1.2  -1.6 999.0 99.0 99.00
2018 01 09 03 50 246  6.5  7.3  0.66  4.17  3.35 278 1016.7   0.8  -1.6 999.0 99.0 99.00
2018 01 09 04 50 239  7.0  8.2  0.50  3.57  3.25 266 1015.8   1.0  -1.6 999.0 99.0 99.00
2018 01 09 05 50 244  8.6 10.3  0.62  2.94  3.03 261 1015.0   0.4  -1.4 999.0 99.0 99.00
2018 01 09 06 50 238  6.8  7.9  0.61  3.33  3.12 257 1014.7   0.6  -1.1 999.0 99.0 99.00
2018 01 09 07 50 248  7.8  9.3  0.58  3.03  3.03 258 1015.0   0.9  -0.9 999.0 99.0 99.00
