#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 02 03 21 50 239 10.8 13.5  0.80  4.00  3.84 267 1027.7  -2.4   1.5 999.0 99.0 99.00
2018 02 03 22 50 252 11.3 13.6  0.89  4.55  3.78 276 1028.7  -2.2   1.5 999.0 99.0 99.00
2018 02 03 23 50 250 10.8 12.7  0.90  4.35  3.68 271 1029.2  -1.7   1.4 999.0 99.0 99.00
2018 02 04 00 50 253  9.6 11.8  0.84  3.85  3.45 262 1029.5  -1.3   1.4 999.0 99.0 99.00
2018 02 04 01 50 250  8.6 10.1  0.78  3.45  3.27 263 1029.6  -0.8   1.5 999.0 99.0 99.00
2018 02 04 02 50 246  9.3 10.7  0.62  3.23  3.00 266 1029.5  -0.2   1.6 999.0 99.0 99.00
2018 02 04 03 50 229 10.3 12.2  0.56  3.23  2.96 254 1029.0   0.3   1.8 999.0 99.0 99.00
2018 02 04 04 50 225  9.2 11.1  0.55  3.23  2.97 248 1029.0   0.7   1.7 999.0 99.0 99.00
2018 02 04 05 50 234  9.1 10.5  0.66  3.70  3.20 255 1028.7   0.9   1.4 999.0 99.0 99.00
2018 02 04 06 50 233  8.2 11.2  0.68  3.45  3.43 241 1028.6   1.0   1.3 999.0 99.0 99.00
2018 02 04 07 50 224  6.4  7.5  0.62  4.00  3.52 257 1028.8   1.2   1.4 999.0 99.0 99.00
2018 02 04 08 50 218  6.4  7.7  0.48  3.85  3.47 262 1028.6   1.6   1.7 999.0 99.0 99.00
2018 02 04 09 50 204  6.3  7.5  0.37  3.33  3.26 267 1028.2   1.8   1.4 999.0 99.0 99.00
2018 02 04 10 50 195  5.9  6.8  0.32  2.74  3.06 227 1027.6   2.0   1.5 999.0 99.0 99.00
2018 02 04 11 50 165  4.2  4.9  0.25 99.00  3.15 999 1027.5   1.8   1.5 999.0 99.0 99.00
2018 02 04 12 50 190  6.3  7.2  0.28  6.67  3.01  97 1027.3   2.3   1.5 999.0 99.0 99.00
2018 02 04 13 50 170  5.3  5.9  0.33  2.47  2.87 176 1027.6   2.7   1.5 999.0 99.0 99.00
2018 02 04 14 50 170  4.5  5.3  0.27  2.86  3.08 173 1027.3   2.7   1.7 999.0 99.0 99.00
2018 02 04 15 50 156  4.1  4.8  0.25 99.00  3.13 999 1026.5   2.8   1.7 999.0 99.0 99.00
2018 02 04 16 50 165  8.1  9.5  0.24 99.00  3.33 999 1024.1   4.7   1.4 999.0 99.0 99.00
2018 02 04 17 50 165  9.8 12.3  0.39  2.86  3.19 157 1021.8   5.2   1.3 999.0 99.0 99.00
2018 02 04 18 50 171  9.0 10.5  0.78  3.85  3.52 159 1020.4   5.1   1.3 999.0 99.0 99.00
2018 02 04 19 50 176  8.1  9.6  0.71  3.70  3.39 159 1019.8   4.6   1.4 999.0 99.0 99.00
2018 02 04 20 50 158  9.2 10.9  0.66  3.45  3.24 147 1018.3   5.2   1.8 999.0 99.0 99.00
2018 02 04 21 50 180  5.7  7.3  0.65  3.33  3.17 165 1018.0   4.7   1.7 999.0 99.0 99.00
2018 02 04 22 50 193  4.4  6.2  0.65  3.33  3.19 169 1017.0   4.3   1.7 999.0 99.0 99.00
2018 02 04 23 50 159 11.0 13.4  0.60  3.13  3.20 155 1014.9   6.0   1.7 999.0 99.0 99.00
2018 02 05 00 50 164  6.7  7.9  0.78  3.45  3.47 153 1014.4   5.2   1.7 999.0 99.0 99.00
2018 02 05 01 50 143  5.5  6.2  0.44  3.03  3.39 152 1011.9   5.2   1.7 999.0 99.0 99.00
2018 02 05 02 50 146  8.4  9.6  0.52  3.03  3.18 149 1009.4   5.9   1.7 999.0 99.0 99.00
2018 02 05 03 50 141  5.1  6.8  0.51  3.33  3.37 149 1007.5   5.5   1.7 999.0 99.0 99.00
2018 02 05 04 50 139  7.3  8.5  0.51  3.13  3.39 151 1003.8   5.8   1.9 999.0 99.0 99.00
2018 02 05 05 50 157  8.9 11.2  0.55  3.33  3.49 143 1000.3   6.6   1.6 999.0 99.0 99.00
2018 02 05 06 50 185 11.6 13.9  0.84  3.70  3.52 157  998.3   7.5   1.5 999.0 99.0 99.00
2018 02 05 07 50 204 10.8 12.7  1.10  4.35  3.88 174  998.0   6.6   1.6 999.0 99.0 99.00
2018 02 05 08 50 232  7.5  8.7  0.88  3.85  3.71 213  998.2   4.5   1.8 999.0 99.0 99.00
2018 02 05 09 50 235  7.3  9.1  0.71  4.55  3.87 263  998.5   3.2   1.9 999.0 99.0 99.00
2018 02 05 10 50 246  6.9  8.3  0.58  3.33  3.74 253  999.9   2.4   1.8 999.0 99.0 99.00
2018 02 05 11 50 259  6.0  6.9  0.50  3.70  3.66 283 1001.8   2.8   1.8 999.0 99.0 99.00
2018 02 05 12 50 278  6.0  6.9  0.47  3.23  3.51 280 1003.5   3.1   1.8 999.0 99.0 99.00
2018 02 05 13 50 280  8.9 10.6  0.48  2.94  3.16 279 1004.5   3.4   1.8 999.0 99.0 99.00
2018 02 05 14 50 280  8.5  9.8  0.55  3.23  3.10 275 1005.7   3.3   1.8 999.0 99.0 99.00
2018 02 05 15 50 279  9.0 10.3  0.58  3.45  3.14 273 1006.8   3.2   1.9 999.0 99.0 99.00
2018 02 05 16 50 280 10.9 13.1  0.63  3.23  3.11 282 1007.7   3.2   1.8 999.0 99.0 99.00
2018 02 05 17 50 283 10.0 11.9  0.74  3.33  3.21 284 1008.7   2.5   1.6 999.0 99.0 99.00
2018 02 05 18 50 281 10.4 12.5  0.83  3.33  3.45 284 1010.2   2.4   1.5 999.0 99.0 99.00
2018 02 05 19 50 293  8.2 11.2  0.87  4.00  3.64 291 1012.1   2.5   1.5 999.0 99.0 99.00
2018 02 05 20 50 296  6.7  8.0  0.76  4.17  3.94 280 1014.5   2.5   1.8 999.0 99.0 99.00
2018 02 05 21 50 294  6.0  7.1  0.70  4.35  3.96 283 1016.3   2.2   2.0 999.0 99.0 99.00
2018 02 05 22 50 300  7.0  8.7  0.67  4.00  3.84 284 1018.0   1.7   1.9 999.0 99.0 99.00
2018 02 05 23 50 298  6.9  8.7  0.58  3.57  3.74 287 1019.6   1.2   1.8 999.0 99.0 99.00
2018 02 06 00 50 302  7.6  9.2  0.58  4.00  3.54 273 1021.3   0.6   1.8 999.0 99.0 99.00
2018 02 06 01 50 304  8.0  9.9  0.60  3.23  3.37 296 1022.7   0.1   1.7 999.0 99.0 99.00
2018 02 06 02 50 306  6.3  7.7  0.57  3.23  3.14 284 1023.3  -0.6   1.8 999.0 99.0 99.00
2018 02 06 03 50 303  6.5  7.5  0.48  3.23  3.09 274 1023.9  -1.1   1.8 999.0 99.0 99.00
2018 02 06 04 50 305  6.0  6.8  0.45  3.13  3.01 283 1024.6  -1.6   1.8 999.0 99.0 99.00
2018 02 06 05 50 315  5.3  6.4  0.40  2.74  3.05 285 1024.8  -2.0   1.7 999.0 99.0 99.00
2018 02 06 06 50 305  3.2  4.2  0.38  4.76  3.46 101 1025.4  -2.4   1.5 999.0 99.0 99.00
2018 02 06 07 50 312  3.4  4.3  0.41 10.00  4.09 303 1026.3  -2.9   1.3 999.0 99.0 99.00
